Run #1	Run #1	Run #1	Run #1
Time (s)	Position (m)	Velocity (m/s)	Acceleration (m/s²)
0,000	0,26		
0,050	0,22	-0,83	
0,100	0,18	-0,66	3,28
0,150	0,15	-0,50	3,95
0,200	0,13	-0,27	4,36
0,250	0,12	-0,06	2,66
0,300	0,12	0,00	1,18
0,350	0,12	0,05	2,56
0,400	0,13	0,25	4,33
0,450	0,15	0,49	3,95
0,500	0,18	0,65	3,27
0,550	0,21	0,81	2,83
0,600	0,26	0,93	1,79
0,650	0,31	0,99	0,83
0,700	0,36	1,02	0,27
0,750	0,41	1,02	-0,13
0,800	0,46	1,00	-0,81
0,850	0,51	0,94	-1,55
0,900	0,55	0,85	-2,06
0,950	0,59	0,73	-2,34
1,000	0,63	0,61	-2,75
1,050	0,66	0,46	-3,39
1,100	0,67	0,27	-3,58
1,150	0,68	0,10	-3,40
1,200	0,68	-0,07	-3,37
1,250	0,68	-0,24	-3,40
1,300	0,66	-0,41	-3,41
1,350	0,64	-0,58	-3,14
1,400	0,60	-0,72	-2,46
1,450	0,56	-0,82	-2,00
1,500	0,52	-0,92	-1,64
1,550	0,47	-0,99	-0,74
1,600	0,42	-0,99	-0,30
1,650	0,37	-1,02	-0,21
1,700	0,32	-1,02	0,71
1,750	0,27	-0,95	1,76
1,800	0,22	-0,84	2,69
1,850	0,19	-0,68	3,23
1,900	0,16	-0,52	3,57
1,950	0,13	-0,32	4,01
2,000	0,12	-0,12	3,23
2,050	0,12	0,00	1,80
2,100	0,12	0,06	2,32
2,150	0,13	0,24	3,96
2,200	0,15	0,46	3,89
2,250	0,18	0,62	3,27
2,300	0,21	0,79	2,88
2,350	0,25	0,91	1,95
2,400	0,30	0,98	0,97
2,450	0,35	1,01	0,32
2,500	0,40	1,01	-0,12
2,550	0,45	1,00	-0,73
2,600	0,50	0,94	-1,46
2,650	0,55	0,85	-1,85
2,700	0,59	0,76	-2,25
2,750	0,62	0,63	-2,93
2,800	0,65	0,46	-3,33
2,850	0,67	0,29	-3,52
2,900	0,68	0,11	-3,40
2,950	0,68	-0,05	-3,14
3,000	0,68	-0,20	-3,38
3,050	0,66	-0,38	-3,46
3,100	0,64	-0,55	-3,18
3,150	0,61	-0,70	-2,65
3,200	0,57	-0,81	-2,00
3,250	0,52	-0,90	-1,61
3,300	0,48	-0,98	-0,85
3,350	0,43	-0,99	-0,37
3,400	0,38	-1,01	-0,28
3,450	0,33	-1,01	0,62
3,500	0,28	-0,95	1,63
3,550	0,23	-0,85	2,57
3,600	0,19	-0,69	3,13
3,650	0,16	-0,54	3,23
3,700	0,14	-0,37	3,95
3,750	0,12	-0,14	3,56
3,800	0,12	-0,01	1,91
3,850	0,12	0,05	2,55
3,900	0,13	0,24	3,92
3,950	0,15	0,44	3,62
4,000	0,17	0,60	3,12
4,050	0,21	0,75	2,92
4,100	0,25	0,89	2,27
4,150	0,30	0,98	1,07
4,200	0,35	1,00	0,32
4,250	0,40	1,01	-0,07
4,300	0,45	0,99	-0,66
4,350	0,50	0,94	-1,33
4,400	0,54	0,86	-1,87
4,450	0,58	0,76	-2,19
4,500	0,62	0,64	-2,69
4,550	0,65	0,49	-3,14
4,600	0,67	0,33	-3,46
4,650	0,68	0,14	-3,67
4,700	0,68	-0,04	-3,32
4,750	0,68	-0,19	-3,24
4,800	0,66	-0,36	-3,34
4,850	0,64	-0,52	-3,18
4,900	0,61	-0,68	-2,77
4,950	0,57	-0,80	-2,06
5,000	0,53	-0,89	-1,61
5,050	0,48	-0,96	-0,92
5,100	0,43	-0,98	-0,45
5,150	0,39	-1,01	-0,36
5,200	0,33	-1,01	0,52
5,250	0,28	-0,96	1,57
5,300	0,24	-0,86	2,47
5,350	0,20	-0,71	3,03
5,400	0,17	-0,55	3,19
5,450	0,14	-0,39	3,59
5,500	0,13	-0,20	3,56
5,550	0,12	-0,03	2,58
5,600	0,12	0,06	2,55
5,650	0,13	0,22	3,55
5,700	0,15	0,42	3,59
5,750	0,17	0,58	3,12
5,800	0,20	0,73	2,93
5,850	0,24	0,87	2,36
5,900	0,29	0,97	1,24
5,950	0,34	1,00	0,40
6,000	0,39	1,01	-0,09
6,050	0,44	0,99	-0,58
6,100	0,49	0,95	-1,23
6,150	0,54	0,87	-1,85
6,200	0,58	0,76	-2,12
6,250	0,61	0,65	-2,52
6,300	0,64	0,51	-3,21
6,350	0,66	0,33	-3,43
6,400	0,68	0,17	-3,37
6,450	0,68	0,00	-3,41
6,500	0,68	-0,17	-3,36
6,550	0,66	-0,34	-3,35
6,600	0,64	-0,51	-3,20
6,650	0,61	-0,66	-2,63
6,700	0,58	-0,77	-2,11
6,750	0,53	-0,87	-1,77
6,800	0,49	-0,95	-1,00
6,850	0,44	-0,97	-0,47
6,900	0,39	-1,00	-0,38
6,950	0,34	-1,01	0,38
